timestamp,lr,emb,layer,head,batch,ctx,final_loss,time_seconds,steps_used
2026-02-26 15:00:11,0.01,48,1,8,8,16,,7.480506087,24
2026-02-26 15:00:24,0.01,48,1,8,16,16,,13.643518389,14
2026-02-26 15:00:27,0.01,48,2,4,4,16,,3.115806657,17
2026-02-26 15:00:34,0.01,48,2,4,8,16,,6.959338846,19
2026-02-26 15:00:47,0.01,48,2,4,16,16,,12.983569573,10
2026-02-26 15:00:51,0.01,48,2,8,4,16,,3.354731761,21
2026-02-26 15:00:58,0.01,48,2,8,8,16,,7.512316639,25
2026-02-26 15:01:12,0.01,48,2,8,16,16,,13.305320948,12
2026-02-26 15:01:19,0.01,64,1,4,4,16,,7.040201651,37
2026-02-26 15:01:30,0.01,64,1,4,8,16,,11.878741573,21
2026-02-26 15:01:51,0.01,64,1,4,16,16,,20.770220656,10
2026-02-26 15:01:57,0.01,64,1,8,4,16,,5.234591830,17
2026-02-26 15:02:07,0.01,64,1,8,8,16,,10.398880028,11
2026-02-26 15:02:53,0.01,64,1,8,16,16,,45.617886392,81
2026-02-26 15:03:00,0.01,64,2,4,4,16,,7.533965256,47
2026-02-26 15:03:11,0.01,64,2,4,8,16,,10.724335575,13
2026-02-26 15:03:35,0.01,64,2,4,16,16,,24.072210787,18
2026-02-26 15:03:41,0.01,64,2,8,4,16,,6.341398590,29
2026-02-26 15:03:52,0.01,64,2,8,8,16,,10.693865130,14
2026-02-26 15:04:13,0.01,64,2,8,16,16,,21.133225110,10
2026-02-26 15:04:14,0.02,16,1,4,4,16,,1.124123381,78
2026-02-26 15:04:17,0.02,16,1,4,8,16,,2.305153761,84
2026-02-26 15:04:19,0.02,16,1,4,16,16,,2.487502816,16
2026-02-26 15:04:20,0.02,16,1,8,4,16,,.631823027,19
2026-02-26 15:04:22,0.02,16,1,8,8,16,,1.710914159,49
2026-02-26 15:04:24,0.02,16,1,8,16,16,,2.704318510,22
2026-02-26 15:04:26,0.02,16,2,4,4,16,,1.312649102,103
2026-02-26 15:04:27,0.02,16,2,4,8,16,,1.104952691,13
2026-02-26 15:04:30,0.02,16,2,4,16,16,,2.940857220,27
2026-02-26 15:04:30,0.02,16,2,8,4,16,,.569949055,11
2026-02-26 15:04:32,0.02,16,2,8,8,16,,1.569219758,41
2026-02-26 15:04:35,0.02,16,2,8,16,16,,2.937110281,27
2026-02-26 15:04:36,0.02,32,1,4,4,16,,1.227918436,11
2026-02-26 15:04:39,0.02,32,1,4,8,16,,2.793414964,14
2026-02-26 15:04:47,0.02,32,1,4,16,16,,8.257147173,30
2026-02-26 15:04:49,0.02,32,1,8,4,16,,1.638737410,30
2026-02-26 15:04:52,0.02,32,1,8,8,16,,2.944851295,18
2026-02-26 15:04:58,0.02,32,1,8,16,16,,6.044421821,9
2026-02-26 15:05:00,0.02,32,2,4,4,16,,2.056444741,53
2026-02-26 15:05:03,0.02,32,2,4,8,16,,2.707863171,9
2026-02-26 15:05:10,0.02,32,2,4,16,16,,7.423407695,23
2026-02-26 15:05:12,0.02,32,2,8,4,16,,1.422602034,20
2026-02-26 15:05:14,0.02,32,2,8,8,16,,2.681046212,11
2026-02-26 15:05:21,0.02,32,2,8,16,16,,6.266178712,10
2026-02-26 15:05:24,0.02,48,1,4,4,16,,3.405306757,23
2026-02-26 15:05:30,0.02,48,1,4,8,16,,5.934264953,8
2026-02-26 15:05:44,0.02,48,1,4,16,16,,14.429291528,17
2026-02-26 15:05:48,0.02,48,1,8,4,16,,3.175566881,19
2026-02-26 15:05:57,0.02,48,1,8,8,16,,9.104709895,42
2026-02-26 15:06:13,0.02,48,1,8,16,16,,16.342798189,26
2026-02-26 15:06:16,0.02,48,2,4,4,16,,2.669335743,10
2026-02-26 15:06:22,0.02,48,2,4,8,16,,6.393995985,15
2026-02-26 15:06:35,0.02,48,2,4,16,16,,12.617864913,8
2026-02-26 15:06:38,0.02,48,2,8,4,16,,2.784638401,10
2026-02-26 15:06:43,0.02,48,2,8,8,16,,5.671237345,6
